hex_id,point_id,P_ij
4,50022727,0.0028088448994243054
4,132495,0.1474768405280509
4,103449,0.022957275603582388
4,204296,0.3640604057480995
4,325074,0.0210382499110707
4,50001677,0.3123176446646297
4,50035379,0.014769567729794776
4,151795,0.10646144852972864
4,327421,0.008109722385619238
5,5698,1.0
6,50004504,0.799994775004055
6,50004291,0.2000052249959449
11,159686,0.11828525119002826
11,205211,0.060722926319398705
11,205295,0.046855156464838836
11,307145,0.026045773235728948
11,122573,0.017694883825945265
11,306618,0.01737807147969933
11,159308,0.045703845054086756
11,309818,0.04693241311852918
11,305288,0.055294431619113765
11,50010262,0.04080778588471707
11,1118,0.049705370570150065
11,1119,0.05214995733208141
11,1120,0.04934121538973546
11,1121,0.1251581777354892
11,1122,0.05214995733208141
11,1123,0.05214995733208141
11,1124,0.049705370570150065
11,1134,0.09391945554614488
12,115485,0.024637230289687794
12,50007186,0.06450563720034869
12,320938,0.04616769955460896
12,142984,0.08075861124691061
12,161945,0.015456274570059495
12,211389,0.11750659981740623
12,151142,0.013545681529373823
12,171326,0.10970000520932992
12,321023,0.008626963101926255
12,50000340,0.012876268632574695
12,50006677,0.020972303867624907
12,50022893,0.012091360027007041
12,171008,0.01563213390016615
12,132438,0.005648567899206684
12,312745,0.009685453199420338
12,171038,0.01069790551764191
12,313125,0.10753410715078579
12,210928,0.13396200349512072
12,5297,0.048352939958423866
12,209491,0.003235345286557544
12,50015998,0.011984667240886126
12,204648,0.03763292174762372
12,50002690,0.007070699952498238
12,309550,0.015852711858201245
12,50006188,0.002549785181398829
12,1072,0.06331612256521038
13,126698,0.10507199534046882
13,50006867,0.1569041567299067
13,167574,0.09022427394841527
13,212762,0.05725495886228342
13,50000808,0.21481378453226901
13,101793,0.21460818261659514
13,318052,0.048608091540713994
13,1065,0.034250111404800124
13,1066,0.015364202939375132
13,1067,0.06290024208517245
14,321694,0.016253272796724068
14,173155,0.018209315106204525
14,317634,0.020771749198375444
14,159956,0.01932886709003782
14,129981,0.023480612476251744
14,50009499,0.02999794216457727
14,314080,0.10188498025987731
14,131488,0.1068738124916161
14,305303,0.040991245020502394
14,50017134,0.054435780334933445
14,162105,0.06120080787160569
14,163112,0.05147557728358962
14,50011665,0.04039011348694242
14,139652,0.049032536802000926
14,164050,0.061180524121295696
14,50022268,0.0922825028717855
14,312376,0.04108922788163113
14,308494,0.014584103284964012
14,50015468,0.05712598845004553
14,50019717,0.01516171185307047
14,50009047,0.010617250569458973
14,312610,0.00931537798270805
14,214065,0.008974578932888513
14,1023,0.026196944096015563
14,1064,0.029145177572897744
15,319166,0.08930477262312884
15,50016237,0.1290171563296698
15,312117,0.21233353101916538
15,319960,0.36134833850405124
15,306313,0.13348956056852657
15,50015425,0.07450664095545817
