geometry,id
"POLYGON ((38.91394910119737 44.95674787581145, 38.91737723393525 44.96922661567391, 38.934364709692844 44.97336473652846, 38.947924052712565 44.96502561940748, 38.94449591997467 44.95254596570414, 38.927508444217075 44.948406342963004, 38.91394910119737 44.95674787581145))",1
"POLYGON ((38.90381789091554 44.977565122039785, 38.90724602365342 44.99003933353115, 38.92423349941102 44.994175952498026, 38.93779284243074 44.98583986186137, 38.934364709692844 44.97336473652846, 38.91737723393525 44.96922661567391, 38.90381789091554 44.977565122039785))",2
"POLYGON ((38.893686680633714 44.998374813412404, 38.897114813371594 45.010844496530815, 38.91410228912919 45.01497961360971, 38.92766163214891 45.006646549458154, 38.92423349941102 44.994175952498026, 38.90724602365342 44.99003933353114, 38.893686680633714 44.998374813412404))",3
"POLYGON ((38.883555470351894 45.01917694992701, 38.886983603089774 45.03164210467298, 38.90397107884738 45.035775719864404, 38.917530421867085 45.02744568219711, 38.914102289129204 45.01497961360971, 38.89711481337161 45.010844496530815, 38.883555470351894 45.01917694992701))",4
"POLYGON ((38.873424260070074 45.03997153158528, 38.87685239280795 45.05243215796174, 38.89383986856555 45.05656427126697, 38.90739921158525 45.048237260081514, 38.90397107884738 45.0357757198644, 38.886983603089774 45.031642104672976, 38.873424260070074 45.03997153158528))",5
"POLYGON ((38.86329304978824 45.06075855839287, 38.86672118252612 45.07321465640512, 38.88370865828372 45.07734526782621, 38.89726800130344 45.06902128311858, 38.89383986856555 45.05656427126696, 38.87685239280795 45.05243215796173, 38.86329304978824 45.06075855839287))",6
"POLYGON ((38.85316183950641 45.081538030359425, 38.856589972244294 45.09398960001513, 38.87357744800189 45.09811870955496, 38.88713679102161 45.08979775131956, 38.88370865828372 45.077345267826196, 38.86672118252612 45.07321465640511, 38.85316183950641 45.081538030359425))",7
"POLYGON ((38.843030629224586 45.102309947498554, 38.84645876196247 45.11475698880778, 38.86344623772006 45.11888459646999, 38.877005580739784 45.11056666469961, 38.8735774480019 45.09811870955496, 38.85658997224431 45.09398960001513, 38.843030629224586 45.102309947498554))",8
"POLYGON ((38.934364709692844 44.97336473652846, 38.937792842430724 44.98583986186137, 38.95478031818832 44.98997678391455, 38.968339661208034 44.98164008252254, 38.96491152847015 44.96916404334818, 38.947924052712565 44.96502561940748, 38.934364709692844 44.97336473652846))",9
"POLYGON ((38.92423349941102 44.994175952498026, 38.92766163214891 45.006646549458154, 38.9446491079065 45.01078196962335, 38.958208450926215 45.00244829471641, 38.95478031818832 44.989976783914535, 38.93779284243074 44.98583986186137, 38.92423349941102 44.994175952498026))",10
"POLYGON ((38.91410228912919 45.01497961360971, 38.917530421867085 45.02744568219711, 38.93451789762467 45.031579600474664, 38.94807724064439 45.023248952052285, 38.9446491079065 45.01078196962335, 38.92766163214891 45.006646549458154, 38.91410228912919 45.01497961360971))",11
"POLYGON ((38.90397107884738 45.035775719864404, 38.90739921158525 45.048237260081514, 38.92438668734285 45.052369676472544, 38.93794603036256 45.04404205453261, 38.93451789762468 45.031579600474664, 38.917530421867085 45.02744568219711, 38.90397107884738 45.035775719864404))",12
"POLYGON ((38.89383986856555 45.05656427126697, 38.89726800130342 45.06902128311859, 38.914255477061026 45.073152197625, 38.927814820080734 45.064827602163845, 38.92438668734285 45.052369676472544, 38.90739921158525 45.048237260081514, 38.89383986856555 45.05656427126697))",13
"POLYGON ((38.88370865828372 45.07734526782621, 38.887136791021604 45.08979775131957, 38.9041242667792 45.09392716394407, 38.917683609798914 45.08560559495639, 38.914255477061026 45.073152197625, 38.89726800130344 45.06902128311858, 38.88370865828372 45.07734526782621))",14
