hex_id,point_id,distance_m
4,50022727,1425.17
4,132495,532.75
4,103449,557.56
4,204296,183.74
4,325074,590.97
4,50001677,286.08
4,50035379,471.31
4,151795,586.26
4,327421,702.88
5,5698,150.0
6,50004504,459.34
6,50004291,459.33
11,159686,501.18
11,205211,781.71
11,205295,929.2
11,307145,1374.43
11,122573,1778.48
11,306618,1800.03
11,159308,944.74
11,309818,928.18
11,305288,832.07
11,50010262,1018.87
11,1118,893.33
11,1119,865.19
11,1120,897.72
11,1121,482.66
11,1122,865.19
11,1123,865.19
11,1124,893.33
11,1134,584.49
12,115485,1126.45
12,50007186,941.3
12,320938,1041.79
12,142984,810.34
12,161945,1173.03
12,211389,764.5
12,151142,806.91
12,171326,416.2
12,321023,686.7
12,50000340,525.79
12,50006677,957.08
12,50022893,870.38
12,171008,733.41
12,132438,910.71
12,312745,635.71
12,171038,594.94
12,313125,421.77
12,210928,640.87
12,5297,870.53
12,209491,1320.46
12,50015998,1389.83
12,204648,1348.18
12,50002690,1244.66
12,309550,1511.37
12,50006188,1547.64
12,1072,458.18
13,126698,885.51
13,50006867,677.79
13,167574,617.47
13,212762,836.16
13,50000808,720.34
13,101793,720.8
13,318052,1480.4
13,1065,1177.76
13,1066,1266.11
13,1067,785.35
14,321694,1095.11
14,173155,1015.21
14,317634,929.9
14,159956,975.62
14,129981,856.93
14,50009499,727.82
14,314080,811.68
14,131488,786.22
14,305303,591.05
14,50017134,489.21
14,162105,452.46
14,163112,507.79
14,50011665,596.9
14,139652,524.52
14,164050,452.56
14,50022268,344.09
14,312376,590.11
14,308494,1177.15
14,50015468,1193.72
14,50019717,1147.06
14,50009047,1454.6
14,312610,1587.15
14,214065,1627.08
14,1023,796.62
14,1064,1177.77
15,319166,669.06
15,50016237,523.54
15,312117,375.58
15,319960,263.49
15,306313,511.78
15,50015425,754.95
19,50027530,860.53
19,50027540,675.02
19,308070,924.87
19,212080,937.47
19,50013962,979.8
19,142316,984.69
19,3106,859.9
19,319049,600.81
19,50015771,782.31
19,214583,435.11
19,155290,703.87
19,213460,591.26
19,5427,1337.53
19,360286,1627.59
19,312402,1345.75
19,125903,1383.62
19,321994,860.79
19,50008881,1005.5
19,50019523,914.75
19,1116,602.33
19,1117,994.59
20,125077,1103.32
20,50012899,1278.26
20,50005687,1244.44
20,50000939,1516.9
20,50008049,1018.87
20,212144,821.81
20,136188,1036.61
20,50017374,414.88
20,50012911,576.0
20,144104,849.75
20,50022857,470.84
20,50002472,991.11
20,50013041,1236.96
20,2890,957.62
20,210688,1180.32
20,1075,1207.09
20,1076,949.25
20,1077,924.68
20,1078,994.13
20,1098,1305.07
20,1099,1332.77
20,1106,979.67
20,1107,1417.23
20,1132,1352.22
20,1133,1316.71
21,50011456,826.23
21,50001101,884.8
21,50031886,1459.24
21,50034991,1513.17
21,50022152,1158.36
21,50017267,610.69
21,5285,772.05
21,209978,352.13
21,50009042,528.56
21,307356,534.03
21,162540,607.78
21,206935,817.15
21,50016484,763.96
21,203190,819.37
21,139531,1149.35
21,50016357,1125.98
21,161796,1135.15
21,209080,1478.9
21,1073,1309.39
21,1074,853.38
21,1080,1077.28
21,1081,870.74
21,1083,1235.28
22,50003520,514.18
22,50005351,514.17
23,50006852,1013.0
23,140184,871.72
23,217837,783.59
23,108722,787.53
23,50019116,639.95
23,50006212,828.12
23,214718,724.18
23,50018091,642.72
23,317159,710.99
23,313779,986.1
23,311080,640.36
23,50015883,230.43
23,50007486,495.54
23,308121,1249.43
23,50015564,1655.41
23,150148,1474.6
23,1024,571.64
23,1025,571.64
23,1026,400.64
23,1027,400.64
23,1028,670.11
23,1029,640.36
23,1030,582.57
23,1031,747.19
25,50003803,991.15
25,50027531,523.33
25,167731,660.16
26,110453,275.59
26,50022799,186.96
26,321507,944.5
26,50006291,426.01
26,213506,715.34
26,101476,700.71
26,172240,1021.19
26,1137,1016.1
26,1138,762.76
26,1139,527.7
27,312025,1453.77
27,172245,1261.35
27,211507,1080.79
27,211019,801.95
27,50011757,912.31
27,1809,1023.27
27,306046,1511.36
27,159277,1206.8
27,50006259,1098.25
27,50017354,815.4
27,50005049,813.72
27,50008255,533.35
27,50011386,378.08
27,134871,294.39
27,329651,407.04
27,317079,1299.06
27,327650,1484.53
27,144910,1519.85
27,50022194,1426.56
27,169830,1165.31
27,50002078,635.79
27,312025,1453.77
27,50032099,1463.55
27,172245,1261.35
27,206380,844.07
27,50013942,954.5
27,50006250,1241.14
27,50001545,1338.02
27,143503,1165.31
27,1101,1142.21
27,1102,1236.93
27,1103,983.78
27,1104,1011.94
27,1105,941.73
27,1108,1201.19
27,1109,1253.36
27,1110,788.79
27,1111,772.28
27,1112,534.11
27,1113,534.11
27,1114,418.26
27,1115,589.35
28,2122,1058.19
28,50014074,1154.38
28,50034056,1099.03
28,50037986,973.64
28,50031787,1280.56
28,137644,1112.06
28,151739,1391.63
28,150386,1205.78
28,308738,1222.96
28,157869,1124.6
28,335761,1161.23
28,50004457,999.39
28,114368,521.8
28,214796,507.04
28,50006439,505.25
28,311711,735.62
28,130288,1462.74
28,130288,1462.74
28,306686,1198.19
28,349561,800.65
28,208111,752.64
28,127434,390.19
28,50006610,777.39
28,215050,1013.88
28,313083,1250.5
28,50017787,1166.84
28,150043,1375.02
28,215158,1532.68
28,213607,1339.13
28,1069,1215.09
28,1070,1078.32
28,1071,1041.86
28,1079,1326.96
28,1082,933.49
28,1084,1041.86
28,1085,1078.32
28,1091,854.19
28,1092,895.42
28,1093,1136.88
28,1094,1481.16
28,1095,1454.25
28,1096,1423.8
28,1100,1488.25
29,173134,1235.08
29,312276,1089.8
29,141127,1045.61
29,3852,1256.37
29,337942,1151.18
29,50007604,1058.62
29,139733,1006.97
29,315637,817.17
29,140341,861.63
29,50016337,861.63
29,307384,846.01
29,139581,929.64
29,50004254,810.36
29,126707,616.25
29,212229,474.7
29,322777,1002.53
29,213695,645.43
29,50019696,891.71
29,318390,855.1
29,211591,765.42
29,213621,736.87
29,50005710,425.11
29,319606,685.68
29,316252,687.18
29,140352,812.1
29,320976,1174.54
29,312535,1376.85
29,212518,1406.01
29,309432,1283.18
29,50017411,1406.61
29,50016599,1124.25
29,1086,548.81
30,50015367,709.78
30,162684,230.66
30,310691,648.66
30,309492,564.17
30,320115,741.42
30,160580,922.38
30,213025,742.34
30,322809,978.58
30,311268,810.0
30,1032,622.86
30,1033,720.57
30,1034,676.23
31,50000027,1218.9
31,308919,925.78
31,5724,596.89
31,139667,806.13
31,336560,712.2
31,130971,691.24
31,211869,770.34
