point_id,address,Средняя годовая прибыль (руб.),Стандартное отклонение прибыли (руб.),Вероятность положительной прибыли (%)
1013,"улица имени В.М. Комарова, 90",1044192.0,29913.0,100.0
1014,"улица Академика Королёва, 22",463081.0,22357.0,100.0
1015,"улица Академика Королёва, 26",-857697.0,22016.0,0.0
1037,"улица имени Дзержинского, 100",-239937.0,24554.0,0.0
1069,"улица Шоссе Нефтяников, 11",-1195359.0,19289.0,0.0
1086,"улица имени Тургенева, 164",480256.0,25036.0,100.0
1092,"Красная улица, 149",-824416.0,23244.0,0.0
1110,"Карасунская улица, 82/2",-384855.0,17976.0,0.0
1111,"Красноармейская улица, 62",-240288.0,18056.0,0.0
1112,"улица Горького, 104",304479.0,19970.0,100.0
1113,"улица Горького, 104",-892679.0,20137.0,0.0
1171,"Уральская улица, 79/2",-2098533.0,17609.0,0.0
1177,"улица Стасова, 182/1",-668488.0,19633.0,0.0
1188,"Сормовская улица, 7/6",-89545.0,19558.0,0.0
1189,"Краевая улица, 10",79902.0,18492.0,100.0
