point_id,expected_demand,type,hex_id,attractiveness
1189,5009.693498167069,rent,50,0.4
1086,4356.332330437967,rent,29,0.2
1018,3332.5173268838084,rent,39,0.2
1188,2817.5078008720393,rent,50,0.6
1184,2725.9664500712693,rent,41,0.6
1036,2456.66577947956,rent,39,0.2
1031,2353.4477330972086,rent,23,0.2
1144,2249.0568874299356,rent,35,0.9
1074,2238.2785978202496,rent,21,0.6
1190,2194.8751384474645,rent,51,0.4
1179,2193.0734052959115,rent,42,0.5
1114,2012.2449562225634,rent,27,1.0
1032,1998.1064503380387,rent,30,0.3
1042,1952.5359427035219,rent,45,0.3
1006,1913.9701941254561,rent,56,0.05
