point_id,expected_demand,type,hex_id,attractiveness
1037,10147.614953348068,rent,39,21.75
1110,3402.3812934713756,rent,27,37.55
1189,3393.064148469647,rent,50,1.75
1171,2853.781995520717,rent,51,14.0
1069,2823.9902536545956,rent,28,17.05
1111,2324.129964781379,rent,27,25.65
1188,2215.8766286686646,rent,50,6.1
1086,1931.4885249730007,rent,29,4.05
1113,1841.3087782045038,rent,27,14.35
1112,1841.3087782045038,rent,27,14.35
1177,1691.7398270065587,rent,42,2.55
1014,1667.266830824797,rent,62,0.05
1015,1667.266830824797,rent,62,0.05
1013,1667.266830824797,rent,62,0.05
1092,1584.5553350977311,rent,28,7.15
